Spain, Period mean ages at birth by birth order and period mean ages at birth by birth order by age 40
Last modified: 24/10/2018
Year       MAB      MAB1      MAB2      MAB3      MAB4     MAB5p     MAB40   MAB40_1   MAB40_2   MAB40_3   MAB40_4  MAB40_5p
1975     28.66     25.05     28.09     31.32     33.39     35.91     28.06     24.89     27.87     30.77     32.44     34.18
1976     28.56     24.94     28.09     31.31     33.40     36.00     27.96     24.79     27.88     30.76     32.45     34.19
1977     28.46     24.85     28.04     31.30     33.41     36.05     27.88     24.71     27.84     30.76     32.46     34.24
1978     28.37     24.80     28.02     31.30     33.49     36.13     27.81     24.66     27.83     30.78     32.53     34.27
1979     28.25     24.77     28.01     31.33     33.58     36.14     27.71     24.62     27.83     30.82     32.63     34.29
1980     28.21     25.06     28.16     31.31     33.69     36.09     27.67     24.82     27.96     30.84     32.70     34.15
1981     28.23     25.25     28.18     31.35     33.68     36.06     27.71     25.01     27.99     30.90     32.73     34.12
1982     28.33     25.43     28.30     31.44     33.72     36.16     27.81     25.16     28.12     30.96     32.79     34.21
1983     28.38     25.52     28.40     31.49     33.85     36.12     27.88     25.27     28.23     31.05     32.87     34.21
1984     28.43     25.66     28.60     31.67     33.93     36.23     27.95     25.41     28.44     31.22     32.96     34.21
1985     28.46     25.80     28.75     31.88     34.06     36.29     28.00     25.55     28.59     31.44     33.06     34.29
1986     28.53     25.98     28.94     32.00     34.06     36.34     28.11     25.74     28.79     31.57     33.11     34.34
1987     28.57     26.14     29.14     32.15     34.20     36.32     28.18     25.92     28.99     31.71     33.23     34.38
1988     28.58     26.26     29.30     32.28     34.33     36.27     28.22     26.05     29.17     31.82     33.31     34.39
1989     28.72     26.57     29.51     32.37     34.40     36.30     28.38     26.36     29.38     31.93     33.38     34.26
1990     28.86     26.82     29.70     32.47     34.45     36.18     28.55     26.62     29.58     32.04     33.44     34.36
1991     29.04     27.17     29.91     32.65     34.50     36.24     28.74     26.96     29.78     32.20     33.47     34.34
1992     29.26     27.52     30.17     32.74     34.51     36.13     28.97     27.30     30.03     32.29     33.44     34.36
1993     29.48     27.82     30.42     32.79     34.48     35.97     29.20     27.62     30.28     32.35     33.47     34.30
1994     29.74     28.14     30.69     32.96     34.47     36.10     29.46     27.92     30.55     32.52     33.46     34.44
1995     29.99     28.43     30.96     33.04     34.50     36.09     29.71     28.21     30.81     32.62     33.52     34.35
1996     30.21     28.48     31.26     33.41     34.71     36.23     29.94     28.34     31.08     32.83     33.57     34.43
1997     30.40     28.73     31.57     33.57     34.81     36.05     30.12     28.56     31.37     32.95     33.69     34.41
1998     30.57     28.91     31.79     33.73     34.81     36.26     30.28     28.74     31.58     33.12     33.57     34.55
1999     30.68     29.02     32.01     33.90     34.92     36.38     30.37     28.84     31.77     33.24     33.70     34.57
2000     30.75     29.13     32.15     33.91     34.78     36.29     30.43     28.94     31.90     33.21     33.58     34.44
2001     30.77     29.15     32.24     33.94     34.70     36.32     30.43     28.94     31.96     33.21     33.39     34.44
2002     30.80     29.23     32.33     33.87     34.64     36.22     30.44     29.01     32.01     33.13     33.41     34.38
2003     30.85     29.30     32.41     33.89     34.66     36.14     30.48     29.06     32.08     33.10     33.40     34.25
2004     30.88     29.35     32.45     33.86     34.56     36.09     30.49     29.10     32.09     33.06     33.33     34.30
2005     30.91     29.37     32.51     33.95     34.44     36.37     30.50     29.11     32.13     33.07     33.18     34.49
2006     30.90     29.36     32.54     33.80     34.36     36.14     30.46     29.08     32.12     32.92     33.05     34.15
2007     30.84     29.34     32.43     33.67     34.12     35.77     30.38     29.02     32.00     32.80     32.86     33.90
2008     30.83     29.30     32.37     33.49     34.14     35.85     30.35     28.97     31.91     32.59     32.85     34.03
2009     31.04     29.60     32.52     33.50     34.00     35.78     30.52     29.23     32.02     32.57     32.72     33.88
2010     31.20     29.82     32.59     33.43     33.91     35.66     30.66     29.43     32.06     32.50     32.66     33.69
2011     31.44     30.11     32.78     33.61     34.20     35.70     30.87     29.68     32.23     32.66     32.89     33.76
2012     31.56     30.25     32.88     33.64     34.08     35.68     30.94     29.77     32.27     32.63     32.75     33.77
2013     31.67     30.42     32.98     33.60     34.10     35.72     31.01     29.90     32.33     32.59     32.80     33.76
2014     31.78     30.55     33.07     33.57     33.97     35.61     31.11     30.00     32.41     32.56     32.71     33.79
2015     31.90     30.69     33.11     33.65     34.04     35.77     31.22     30.12     32.44     32.65     32.81     33.98
2016     32.00     30.80     33.16     33.64     34.03     35.68     31.29     30.20     32.46     32.65     32.86     33.85
