Spain, Tempo-adjusted total fertility rates, Bongaarts-Feeney method
Last modified: 24/10/2018
Year    adjTFR
1976     2.674
1977     2.583
1978     2.524
1979     2.578
1980     2.574
1981     2.306
1982     2.182
1983     2.050
1984     2.041
1985     1.939
1986     1.863
1987     1.754
1988     1.774
1989     1.803
1990     1.794
1991     1.847
1992     1.800
1993     1.726
1994     1.629
1995     1.476
1996     1.464
1997     1.482
1998     1.365
1999     1.338
2000     1.309
2001     1.305
2002     1.344
2003     1.368
2004     1.367
2005     1.352
2006     1.313
2007     1.299
2008     1.579
2009     1.702
2010     1.709
2011     1.637
2012     1.504
2013     1.439
2014     1.466
2015     1.460
