France, Period fertility rates by calendar year and age (Lexis squares, age in completed years (ACY))
Last modified: 07/09/2018
Year    Age        ASFR
1946     12-    0.00000
1946     13     0.00000
1946     14     0.00019
1946     15     0.00146
1946     16     0.00664
1946     17     0.01952
1946     18     0.04224
1946     19     0.07186
1946     20     0.10359
1946     21     0.13185
1946     22     0.15654
1946     23     0.17087
1946     24     0.18685
1946     25     0.19323
1946     26     0.19543
1946     27     0.18079
1946     28     0.17720
1946     29     0.17035
1946     30     0.16244
1946     31     0.15222
1946     32     0.13940
1946     33     0.12756
1946     34     0.11401
1946     35     0.10033
1946     36     0.08810
1946     37     0.07389
1946     38     0.06178
1946     39     0.05093
1946     40     0.03980
1946     41     0.02948
1946     42     0.02026
1946     43     0.01333
1946     44     0.00747
1946     45     0.00430
1946     46     0.00203
1946     47     0.00071
1946     48     0.00023
1946     49     0.00026
1946     50     0.00000
1946     51     0.00000
1946     52     0.00000
1946     53     0.00000
1946     54     0.00000
1946     55+    0.00000
1947     12-    0.00000
1947     13     0.00000
1947     14     0.00038
1947     15     0.00176
1947     16     0.00739
1947     17     0.02158
1947     18     0.04778
1947     19     0.08592
1947     20     0.12513
1947     21     0.15797
1947     22     0.18391
1947     23     0.19531
1947     24     0.20137
1947     25     0.19932
1947     26     0.19143
1947     27     0.18232
1947     28     0.16619
1947     29     0.15671
1947     30     0.14742
1947     31     0.13792
1947     32     0.12650
1947     33     0.11570
1947     34     0.10402
1947     35     0.09553
1947     36     0.08135
1947     37     0.07330
1947     38     0.06086
1947     39     0.04966
1947     40     0.03874
1947     41     0.03061
1947     42     0.02118
1947     43     0.01354
1947     44     0.00862
1947     45     0.00449
1947     46     0.00218
1947     47     0.00094
1947     48     0.00029
1947     49     0.00012
1947     50     0.00012
1947     51     0.00000
1947     52     0.00000
1947     53     0.00000
1947     54     0.00000
1947     55+    0.00000
1948     12-    0.00000
1948     13     0.00001
1948     14     0.00031
1948     15     0.00197
1948     16     0.00720
1948     17     0.02206
1948     18     0.04838
1948     19     0.08701
1948     20     0.12926
1948     21     0.15978
1948     22     0.18589
1948     23     0.19421
1948     24     0.20170
1948     25     0.19492
1948     26     0.18936
1948     27     0.18013
1948     28     0.17072
1948     29     0.15531
1948     30     0.14474
1948     31     0.13594
1948     32     0.12365
1948     33     0.11299
1948     34     0.10273
1948     35     0.09279
1948     36     0.08189
1948     37     0.06927
1948     38     0.05981
1948     39     0.04871
1948     40     0.03870
1948     41     0.02937
1948     42     0.02122
1948     43     0.01390
1948     44     0.00804
1948     45     0.00432
1948     46     0.00211
1948     47     0.00108
1948     48     0.00038
1948     49     0.00010
1948     50     0.00007
1948     51     0.00000
1948     52     0.00000
