France, Completed cohort fertility and completed cohort fertility by age 40
Last modified: 07/09/2018
Cohort     CCF     CCF40
1931     2.626     2.576
1932     2.630     2.584
1933     2.617     2.578
1934     2.602     2.569
1935     2.589     2.561
1936     2.548     2.522
1937     2.531     2.507
1938     2.489     2.466
1939     2.448     2.426
1940     2.423     2.395
1941     2.373     2.348
1942     2.313     2.288
1943     2.292     2.268
1944     2.268     2.243
1945     2.228     2.202
1946     2.174     2.149
1947     2.135     2.107
1948     2.119     2.090
1949     2.107     2.077
1950     2.117     2.085
1951     2.113     2.081
1952     2.123     2.089
1953     2.120     2.086
1954     2.124     2.089
1955     2.132     2.095
1956     2.141     2.102
1957     2.136     2.094
1958     2.136     2.092
1959     2.121     2.075
1960     2.118     2.069
1961     2.093     2.044
1962     2.082     2.031
1963     2.068     2.014
1964     2.046     1.990
1965     2.036     1.976
1966     2.021     1.960
1967         .     1.955
1968         .     1.949
1969         .     1.936
1970         .     1.935
1971         .     1.924
1972         .     1.921
1973         .     1.929
1974         .     1.942
1975         .     1.954
1976         .     1.957
