France, Period mean ages at birth and period mean ages at birth by age 40
Last modified: 07/09/2018
Year       MAB     MAB40
1946     28.78     28.24
1947     28.37     27.80
1948     28.30     27.73
1949     28.21     27.66
1950     28.16     27.62
1951     28.10     27.56
1952     28.10     27.57
1953     28.01     27.50
1954     28.01     27.50
1955     27.93     27.43
1956     27.85     27.36
1957     27.87     27.39
1958     27.82     27.33
1959     27.74     27.26
1960     27.60     27.15
1961     27.55     27.11
1962     27.49     27.06
1963     27.42     27.01
1964     27.36     26.94
1965     27.29     26.89
1966     27.31     26.91
1967     27.32     26.93
1968     27.30     26.91
1969     27.28     26.89
1970     27.17     26.79
1971     27.11     26.73
1972     26.98     26.61
1973     26.87     26.52
1974     26.79     26.45
1975     26.67     26.37
1976     26.56     26.30
1977     26.52     26.29
1978     26.59     26.38
1979     26.71     26.51
1980     26.82     26.63
1981     26.99     26.80
1982     27.06     26.86
1983     27.12     26.92
1984     27.26     27.06
1985     27.48     27.27
1986     27.66     27.45
1987     27.87     27.66
1988     28.04     27.83
1989     28.20     27.97
1990     28.32     28.08
1991     28.41     28.16
1992     28.55     28.30
1993     28.67     28.41
1994     28.83     28.56
1995     28.98     28.72
1996     29.11     28.84
1997     29.20     28.92
1998     29.31     29.03
1999     29.35     29.06
2000     29.38     29.08
2001     29.40     29.08
2002     29.47     29.15
2003     29.55     29.22
2004     29.61     29.26
2005     29.71     29.36
2006     29.78     29.43
2007     29.85     29.48
2008     29.89     29.51
2009     29.95     29.57
2010     30.01     29.62
2011     30.09     29.68
2012     30.14     29.72
2013     30.24     29.81
2014     30.35     29.90
2015     30.46     30.00
2016     30.57     30.09
