Ireland, Period fertility rates by calendar year and age (Lexis squares, age in completed years (ACY))
Last modified: 20/06/2016
Year    Age        ASFR
1955     12-    0.00000
1955     13     0.00000
1955     14     0.00000
1955     15     0.00000
1955     16     0.00000
1955     17     0.00012
1955     18     0.00632
1955     19     0.04908
1955     20     0.05417
1955     21     0.07125
1955     22     0.08304
1955     23     0.09618
1955     24     0.12356
1955     25     0.15307
1955     26     0.16751
1955     27     0.17947
1955     28     0.19115
1955     29     0.20447
1955     30     0.20634
1955     31     0.19615
1955     32     0.18982
1955     33     0.18775
1955     34     0.18845
1955     35     0.17687
1955     36     0.15733
1955     37     0.14195
1955     38     0.12782
1955     39     0.11243
1955     40     0.09211
1955     41     0.07097
1955     42     0.05204
1955     43     0.03536
1955     44     0.02173
1955     45     0.01392
1955     46     0.00486
1955     47     0.00084
1955     48     0.00012
1955     49     0.00002
1955     50     0.00000
1955     51     0.00000
1955     52     0.00000
1955     53     0.00000
1955     54     0.00000
1955     55+    0.00000
1956     12-    0.00000
1956     13     0.00000
1956     14     0.00000
1956     15     0.00000
1956     16     0.00000
1956     17     0.00011
1956     18     0.00605
1956     19     0.04738
1956     20     0.05360
1956     21     0.07182
1956     22     0.08490
1956     23     0.09904
1956     24     0.12706
1956     25     0.15737
1956     26     0.17209
1956     27     0.18374
1956     28     0.19454
1956     29     0.20650
1956     30     0.20597
1956     31     0.19372
1956     32     0.18669
1956     33     0.18521
1956     34     0.18750
1956     35     0.17727
1956     36     0.15880
1956     37     0.14328
1956     38     0.12822
1956     39     0.11162
1956     40     0.09131
1956     41     0.06982
1956     42     0.05085
1956     43     0.03435
1956     44     0.02101
1956     45     0.01294
1956     46     0.00453
1956     47     0.00079
1956     48     0.00011
1956     49     0.00002
1956     50     0.00000
1956     51     0.00000
1956     52     0.00000
1956     53     0.00000
1956     54     0.00000
1956     55+    0.00000
1957     12-    0.00000
1957     13     0.00000
1957     14     0.00000
1957     15     0.00000
1957     16     0.00000
1957     17     0.00012
1957     18     0.00620
1957     19     0.04864
1957     20     0.05411
1957     21     0.07315
1957     22     0.08702
1957     23     0.10166
1957     24     0.12984
1957     25     0.16022
1957     26     0.17418
1957     27     0.18553
1957     28     0.19706
1957     29     0.21114
1957     30     0.21339
1957     31     0.20286
1957     32     0.19613
1957     33     0.19363
1957     34     0.19388
1957     35     0.18044
1957     36     0.15995
1957     37     0.14462
1957     38     0.13106
1957     39     0.11623
1957     40     0.09758
1957     41     0.07560
1957     42     0.05506
1957     43     0.03688
1957     44     0.02228
1957     45     0.01349
1957     46     0.00470
1957     47     0.00081
1957     48     0.00012
1957     49     0.00002
1957     50     0.00000
1957     51     0.00000
1957     52     0.00000
1957     53     0.00000
1957     54     0.00000
1957     55+    0.00000
1958     12-    0.00000
1958     13     0.00000
1958     14     0.00000
1958     15     0.00000
1958     16     0.00000
1958     17     0.00010
1958     18     0.00529
1958     19     0.04215
1958     20     0.04951
1958     21     0.07059
1958     22     0.08761
1958     23     0.10473
1958     24     0.13364
1958     25     0.16396
1958     26     0.17772
1958     27     0.18841
1958     28     0.19937
1958     29     0.21345
1958     30     0.21506
1958     31     0.20304
1958     32     0.19554
1958     33     0.19293
1958     34     0.19353
1958     35     0.18193
1958     36     0.16178
1958     37     0.14479
1958     38     0.12862
1958     39     0.11135
1958     40     0.09076
1958     41     0.06916
1958     42     0.05110
1958     43     0.03542
1958     44     0.02233
1958     45     0.01458
1958     46     0.00515
1958     47     0.00088
1958     48     0.00012
1958     49     0.00002
1958     50     0.00000
1958     51     0.00000
1958     52     0.00000
1958     53     0.00000
1958     54     0.00000
1958     55+    0.00000
1959     12-    0.00000
1959     13     0.00000
1959     14     0.00000
1959     15     0.00000
1959     16     0.00000
1959     17     0.00011
1959     18     0.00565
1959     19     0.04555
1959     20     0.05241
1959     21     0.07627
1959     22     0.09601
1959     23     0.11508
1959     24     0.14511
1959     25     0.17512
1959     26     0.18747
1959     27     0.19645
1959     28     0.20607
1959     29     0.21965
1959     30     0.22011
1959     31     0.20622
1959     32     0.19828
1959     33     0.19653
1959     34     0.19891
1959     35     0.18991
1959     36     0.17038
1959     37     0.15260
1959     38     0.13470
1959     39     0.11533
1959     40     0.09226
1959     41     0.06977
1959     42     0.05121
1959     43     0.03530
1959     44     0.02215
1959     45     0.01484
1959     46     0.00526
1959     47     0.00091
1959     48     0.00013
1959     49     0.00002
1959     50     0.00000
1959     51     0.00000
1959     52     0.00000
1959     53     0.00000
1959     54     0.00000
1959     55+    0.00000
1960     12-    0.00000
1960     13     0.00000
1960     14     0.00000
1960     15     0.00000
1960     16     0.00000
