Spain, Completed cohort fertility and completed cohort fertility by age 40
Last modified: 24/10/2018
Cohort     CCF     CCF40
1907     3.062     2.860
1908     3.011     2.817
1909     2.941     2.758
1910     2.854     2.677
1911     2.770     2.597
1912     2.697     2.528
1913     2.635     2.470
1914     2.585     2.421
1915     2.549     2.385
1916     2.527     2.362
1917     2.517     2.352
1918     2.515     2.352
1919     2.515     2.354
1920     2.514     2.352
1921     2.516     2.353
1922     2.521     2.356
1923     2.528     2.361
1924     2.529     2.365
1925     2.530     2.371
1926     2.534     2.382
1927     2.543     2.398
1928     2.558     2.420
1929     2.579     2.444
1930     2.603     2.470
1931     2.631     2.500
1932     2.657     2.530
1933     2.674     2.554
1934     2.682     2.570
1935     2.679     2.575
1936     2.669     2.573
1937     2.662     2.573
1938     2.649     2.568
1939     2.624     2.550
1940     2.590     2.520
1941     2.542     2.481
1942     2.508     2.452
1943     2.480     2.429
1944     2.447     2.401
1945     2.421     2.379
1946     2.376     2.338
1947     2.317     2.283
1948     2.280     2.248
1949     2.221     2.191
1950     2.151     2.122
1951     2.116     2.088
1952     2.086     2.059
1953     2.032     2.006
1954     1.974     1.947
1955     1.934     1.906
1956     1.905     1.875
1957     1.868     1.837
1958     1.823     1.790
1959     1.787     1.750
1960     1.751     1.710
1961     1.710     1.667
1962     1.680     1.634
1963     1.658     1.608
1964     1.638     1.585
1965     1.602     1.547
1966     1.574     1.515
1967         .     1.493
1968         .     1.462
1969         .     1.428
1970         .     1.399
1971         .     1.368
1972         .     1.338
1973         .     1.317
1974         .     1.296
1975         .     1.277
1976         .     1.268
