Spain, Period mean ages at birth and period mean ages at birth by age 40
Last modified: 24/10/2018
Year       MAB     MAB40
1922     31.26     30.04
1923     31.26     30.02
1924     31.42     30.12
1925     31.25     30.02
1926     31.12     29.90
1927     31.24     29.99
1928     31.14     29.88
1929     31.17     29.88
1930     31.11     29.88
1931     30.95     29.79
1932     30.84     29.70
1933     30.88     29.69
1934     30.86     29.65
1935     30.78     29.62
1936     30.78     29.59
1937     30.76     29.57
1938     31.24     29.95
1939     31.97     30.55
1940     31.13     30.01
1941     31.06     29.94
1942     30.87     29.80
1943     30.90     29.83
1944     31.00     29.91
1945     31.00     29.92
1946     31.07     29.94
1947     30.77     29.76
1948     30.78     29.73
1949     30.75     29.70
1950     30.71     29.69
1951     30.67     29.71
1952     30.65     29.69
1953     30.53     29.59
1954     30.45     29.55
1955     30.43     29.51
1956     30.17     29.35
1957     30.20     29.37
1958     30.09     29.29
1959     30.07     29.28
1960     30.09     29.32
1961     29.98     29.23
1962     29.82     29.08
1963     29.91     29.18
1964     29.90     29.16
1965     29.95     29.17
1966     29.82     29.08
1967     30.08     29.23
1968     29.65     28.93
1969     29.52     28.84
1970     29.45     28.77
1971     29.24     28.60
1972     29.16     28.52
1973     28.99     28.39
1974     28.88     28.26
1975     28.66     28.06
1976     28.56     27.96
1977     28.46     27.88
1978     28.37     27.81
1979     28.25     27.71
1980     28.21     27.67
1981     28.23     27.71
1982     28.33     27.81
1983     28.38     27.88
1984     28.43     27.95
1985     28.46     28.00
1986     28.53     28.11
1987     28.57     28.18
1988     28.58     28.22
1989     28.72     28.38
1990     28.86     28.55
1991     29.04     28.74
1992     29.26     28.97
1993     29.48     29.20
1994     29.74     29.46
1995     29.99     29.71
1996     30.21     29.94
1997     30.40     30.12
1998     30.57     30.28
1999     30.68     30.37
2000     30.75     30.43
2001     30.77     30.43
2002     30.80     30.44
2003     30.85     30.48
2004     30.88     30.49
2005     30.91     30.50
2006     30.90     30.46
2007     30.84     30.38
2008     30.83     30.35
2009     31.04     30.52
2010     31.20     30.66
2011     31.44     30.87
2012     31.56     30.94
2013     31.67     31.01
2014     31.78     31.11
2015     31.90     31.22
2016     32.00     31.29
