Indicadores Demográficos Básicos
Resultados nacionales
Edad Media al Primer Matrimonio según sexo y nacionalidad (española/extranjera)
Unidades: Años
,Total Nacional,,,,,,,,,
,Ambos sexos,,,Hombres,,,Mujeres,,,
,Ambas nacionalidades,Española,Extranjera,Ambas nacionalidades,Española,Extranjera,Ambas nacionalidades,Española,Extranjera,
1976,25.38,..,..,26.65,..,..,24.08,..,..,
1977,25.23,..,..,26.45,..,..,23.97,..,..,
1978,25.15,..,..,26.36,..,..,23.9,..,..,
1979,25.19,..,..,26.41,..,..,23.91,..,..,
1980,25.08,..,..,26.23,..,..,23.87,..,..,
1981,25.22,..,..,26.38,..,..,24.0,..,..,
1982,25.62,..,..,26.7,..,..,24.48,..,..,
1983,25.72,..,..,26.76,..,..,24.63,..,..,
1984,25.83,..,..,26.9,..,..,24.72,..,..,
1985,25.93,..,..,27.03,..,..,24.79,..,..,
1986,26.03,..,..,27.15,..,..,24.88,..,..,
1987,26.11,..,..,27.23,..,..,24.97,..,..,
1988,26.27,..,..,27.39,..,..,25.12,..,..,
1989,26.45,..,..,27.56,..,..,25.33,..,..,
1990,26.7,..,..,27.8,..,..,25.59,..,..,
1991,27.01,..,..,28.09,..,..,25.93,..,..,
1992,27.28,..,..,28.35,..,..,26.21,..,..,
1993,27.61,..,..,28.67,..,..,26.55,..,..,
1994,27.9,..,..,28.93,..,..,26.87,..,..,
1995,28.14,..,..,29.17,..,..,27.11,..,..,
1996,28.44,..,..,29.47,..,..,27.41,..,..,
1997,28.66,..,..,29.71,..,..,27.63,..,..,
1998,28.84,..,..,29.88,..,..,27.81,..,..,
1999,29.01,..,..,30.05,..,..,27.98,..,..,
2000,29.15,..,..,30.18,..,..,28.13,..,..,
2001,29.39,..,..,30.41,..,..,28.39,..,..,
2002,29.61,29.56,31.16,30.65,30.6,32.04,28.6,28.54,30.53,
2003,29.87,29.8,31.39,30.91,30.85,32.21,28.86,28.77,30.82,
2004,30.18,30.11,31.52,31.24,31.19,32.11,29.16,29.05,31.12,
2005,30.51,30.42,31.96,31.67,31.57,33.03,29.4,29.3,31.25,
2006,30.95,30.86,32.32,32.22,32.09,34.08,29.75,29.66,31.07,
2007,31.03,30.91,32.43,32.22,32.09,33.64,29.9,29.77,31.57,
2008,31.26,31.14,32.55,32.41,32.29,33.41,30.18,30.03,31.94,
2009,31.65,31.58,32.38,32.82,32.78,33.02,30.57,30.44,31.93,
2010,32.07,32.02,32.57,33.21,33.2,33.1,31.01,30.9,32.23,
2011,32.47,32.42,32.81,33.58,33.57,33.3,31.42,31.32,32.47,
2012,32.71,32.66,32.94,33.82,33.82,33.18,31.68,31.56,32.78,
2013,33.21,33.19,33.25,34.32,34.35,33.65,32.18,32.09,32.98,
2014,33.31,33.29,33.26,34.42,34.44,33.78,32.28,32.21,32.88,
2015,33.7,33.69,33.45,34.81,34.84,34.12,32.66,32.61,32.92,
2016,33.95,33.96,33.5,35.04,35.09,33.97,32.93,32.89,33.14,
2017,34.21,34.22,33.77,35.3,35.35,34.32,33.18,33.14,33.34,
