France, Period total fertility rates and period total fertility rates by age 40
Last modified: 07/09/2018
Year       TFR     TFR40
1946     2.997     2.879
1947     3.038     2.917
1948     3.020     2.901
1949     3.004     2.890
1950     2.947     2.837
1951     2.806     2.702
1952     2.777     2.675
1953     2.704     2.609
1954     2.715     2.619
1955     2.684     2.592
1956     2.674     2.585
1957     2.695     2.607
1958     2.684     2.596
1959     2.753     2.664
1960     2.741     2.657
1961     2.826     2.742
1962     2.796     2.716
1963     2.897     2.818
1964     2.915     2.836
1965     2.848     2.773
1966     2.799     2.725
1967     2.670     2.601
1968     2.587     2.520
1969     2.534     2.468
1970     2.480     2.419
1971     2.496     2.435
1972     2.418     2.361
1973     2.308     2.256
1974     2.112     2.066
1975     1.927     1.890
1976     1.830     1.800
1977     1.863     1.835
1978     1.823     1.798
1979     1.856     1.832
1980     1.946     1.922
1981     1.946     1.921
1982     1.913     1.888
1983     1.785     1.761
1984     1.802     1.778
1985     1.815     1.789
1986     1.832     1.806
1987     1.802     1.775
1988     1.806     1.778
1989     1.788     1.759
1990     1.779     1.748
1991     1.770     1.739
1992     1.734     1.702
1993     1.661     1.628
1994     1.663     1.630
1995     1.714     1.679
1996     1.734     1.698
1997     1.726     1.689
1998     1.764     1.725
1999     1.792     1.750
2000     1.875     1.830
2001     1.877     1.830
2002     1.865     1.817
2003     1.874     1.825
2004     1.898     1.847
2005     1.920     1.866
2006     1.981     1.925
2007     1.960     1.901
2008     1.991     1.930
2009     1.990     1.928
2010     2.017     1.953
2011     1.997     1.930
2012     1.993     1.926
2013     1.974     1.904
2014     1.975     1.901
2015     1.925     1.851
2016     1.888     1.812
