Ireland, Completed cohort fertility and completed cohort fertility by age 40
Last modified: 20/06/2016
Cohort     CCF     CCF40
1940     3.325     3.194
1941     3.300     3.177
1942     3.292     3.171
1943     3.281     3.166
1944     3.254     3.148
1945     3.218     3.119
1946     3.176     3.085
1947     3.133     3.048
1948     3.076     2.994
1949     3.015     2.937
1950     2.948     2.873
1951     2.891     2.819
1952     2.866     2.798
1953     2.808     2.740
1954     2.742     2.676
1955     2.674     2.611
1956     2.589     2.524
1957     2.553     2.484
1958     2.499     2.430
1959     2.445     2.376
1960     2.373     2.299
1961     2.297     2.220
1962     2.282     2.198
1963     2.264     2.175
1964     2.226     2.133
1965         .     2.101
1966         .     2.067
1967         .     2.065
1968         .     2.057
1969         .     2.028
1970         .     2.001
1971         .     1.984
1972         .     1.985
1973         .     1.980
1974         .     1.962
