Ireland, Period mean ages at birth and period mean ages at birth by age 40
Last modified: 20/06/2016
Year       MAB     MAB40
1955     31.60     30.60
1956     31.55     30.57
1957     31.60     30.58
1958     31.55     30.59
1959     31.47     30.52
1960     31.38     30.44
1961     31.27     30.32
1962     31.18     30.24
1963     31.07     30.15
1964     31.00     30.06
1965     30.91     29.99
1966     30.82     29.90
1967     30.77     29.86
1968     30.60     29.73
1969     30.50     29.64
1970     30.34     29.53
1971     30.19     29.38
1972     30.07     29.28
1973     29.99     29.21
1974     29.97     29.18
1975     29.85     29.06
1976     29.83     29.05
1977     29.82     29.07
1978     29.78     29.09
1979     29.64     28.99
1980     29.65     29.01
1981     29.68     29.07
1982     29.75     29.15
1983     29.77     29.14
1984     29.74     29.15
1985     29.83     29.24
1986     29.88     29.32
1987     29.91     29.35
1988     29.89     29.35
1989     29.99     29.46
1990     29.91     29.43
1991     29.89     29.40
1992     29.96     29.49
1993     30.06     29.58
1994     30.13     29.69
1995     30.24     29.79
1996     30.20     29.81
1997     30.34     29.91
1998     30.33     29.91
1999     30.32     29.91
2000     30.43     30.01
2001     30.52     30.09
2002     30.65     30.22
2003     30.78     30.33
2004     30.95     30.47
2005     31.18     30.67
2006     31.24     30.70
2007     31.30     30.75
2008     31.33     30.77
2009     31.36     30.78
2010     31.40     30.80
2011     31.51     30.90
2012     31.51     30.87
2013     31.57     30.93
2014     31.60     30.94
