Ireland, Period mean ages at birth by birth order and period mean ages at birth by birth order by age 40
Last modified: 20/06/2016
Year       MAB      MAB1      MAB2      MAB3      MAB4     MAB5p     MAB40   MAB40_1   MAB40_2   MAB40_3   MAB40_4  MAB40_5p
1989     29.99     26.63     29.23     31.31     33.21     35.67     29.46     26.50     29.02     31.00     32.58     34.15
1990     29.91     26.62     29.27     31.47     33.25     35.78     29.43     26.49     29.09     31.19     32.66     34.22
1991     29.89     26.64     29.43     31.61     33.26     35.69     29.40     26.51     29.23     31.28     32.62     34.22
1992     29.96     26.74     29.64     31.73     33.47     35.68     29.49     26.62     29.45     31.42     32.80     34.16
1993     30.06     26.97     29.84     31.83     33.53     35.84     29.58     26.82     29.62     31.48     32.92     34.18
1994     30.13     27.13     29.94     32.10     33.51     35.81     29.69     27.00     29.78     31.76     32.82     34.23
1995     30.24     27.34     30.20     32.21     33.77     35.70     29.79     27.17     29.98     31.86     33.04     34.15
1996     30.20     27.34     30.37     32.36     33.70     35.48     29.81     27.19     30.16     32.04     33.11     34.00
1997     30.34     27.47     30.55     32.57     33.90     35.79     29.91     27.31     30.31     32.20     33.16     34.23
1998     30.33     27.47     30.64     32.77     34.08     35.78     29.91     27.30     30.37     32.37     33.37     34.30
1999     30.32     27.54     30.73     32.85     34.11     35.65     29.91     27.37     30.48     32.42     33.37     34.22
2000     30.43     27.64     30.89     32.96     34.19     35.67     30.01     27.44     30.62     32.54     33.48     34.25
2001     30.52     27.88     30.97     33.00     34.20     35.56     30.09     27.67     30.68     32.53     33.50     34.20
2002     30.65     28.02     31.14     33.10     34.27     35.43     30.22     27.82     30.85     32.65     33.50     34.06
2003     30.78     28.30     31.21     33.24     34.28     35.48     30.33     28.05     30.88     32.75     33.52     34.12
2004     30.95     28.52     31.32     33.34     34.44     35.73     30.47     28.25     30.96     32.88     33.64     34.25
2005     31.18     28.68     31.70     33.62     34.65     35.74     30.67     28.40     31.32     33.06     33.77     34.27
2006     31.24     28.77     31.84     33.75     34.71     35.76     30.70     28.45     31.40     33.20     33.85     34.21
2007     31.30     28.84     31.99     33.75     34.89     35.79     30.75     28.52     31.54     33.17     34.01     34.26
2008     31.33     28.87     32.00     33.89     34.94     35.80     30.77     28.53     31.54     33.32     34.01     34.28
2009     31.36     28.98     32.05     34.01     34.80     35.76     30.78     28.63     31.54     33.36     33.89     34.25
2010     31.40     29.13     31.98     33.96     34.95     35.76     30.80     28.75     31.48     33.28     34.00     34.32
2011     31.51     29.33     31.93     33.99     34.82     35.71     30.90     28.91     31.42     33.29     33.91     34.26
2012     31.51     29.28     31.99     33.90     34.88     35.84     30.87     28.85     31.42     33.21     33.88     34.26
2013     31.57     29.42     32.00     33.93     34.70     35.58     30.93     28.97     31.46     33.22     33.69     33.98
2014     31.60     29.55     32.04     33.80     34.68     35.48     30.94     29.10     31.45     33.10     33.65     34.02
