Ireland, Period total fertility rates and period total fertility rates by age 40
Last modified: 20/06/2016
Year       TFR     TFR40
1955     3.356     3.064
1956     3.368     3.082
1957     3.468     3.161
1958     3.455     3.165
1959     3.596     3.304
1960     3.755     3.453
1961     3.798     3.491
1962     3.956     3.642
1963     4.061     3.747
1964     4.115     3.793
1965     4.076     3.767
1966     3.975     3.678
1967     3.869     3.582
1968     3.789     3.525
1969     3.842     3.577
1970     3.865     3.617
1971     3.954     3.702
1972     3.865     3.626
1973     3.724     3.498
1974     3.596     3.375
1975     3.373     3.168
1976     3.286     3.091
1977     3.241     3.056
1978     3.209     3.038
1979     3.211     3.053
1980     3.203     3.047
1981     3.056     2.913
1982     2.949     2.812
1983     2.750     2.616
1984     2.586     2.469
1985     2.494     2.381
1986     2.443     2.335
1987     2.301     2.200
1988     2.143     2.052
1989     2.044     1.956
1990     2.089     2.008
1991     2.073     1.994
1992     1.991     1.916
1993     1.904     1.831
1994     1.846     1.780
1995     1.840     1.772
1996     1.877     1.816
1997     1.926     1.857
1998     1.938     1.869
1999     1.901     1.834
2000     1.888     1.820
2001     1.943     1.872
2002     1.980     1.906
2003     1.963     1.884
2004     1.929     1.847
2005     1.859     1.773
2006     1.910     1.817
2007     2.007     1.907
2008     2.059     1.955
2009     2.054     1.945
2010     2.047     1.935
2011     2.029     1.915
2012     1.998     1.881
2013     1.958     1.843
2014     1.947     1.832
